Maxim,,Raginsky
Umberto,,Ravaioli
Elyse,,Rosenbaum
William,H,Sanders
Peter,W,Sauer
Christopher,,Schmitz
Jose,E,Schutt-Aine
Naresh,R,Shanbhag
Andrew,Carl,Singer
Paris,,Smaragdis
Rayadurgam,,Srikant
Nitin,H,Vaidya
David,,Varodayan
Lav,R,Varshney
Shobha,,Vasudevan
Venugopal,Varadachari,Veeravalli
Pramod,,Viswanath
Yurii,A,Vlasov
Lara,,Waldrop
Daniel,M,Wasserman
Hao,,Zhu
Wenjuan,,Zhu
James,,Allison
Carolyn,L,Beck
Xin,,Chen
Liming,,Feng
Negar,,Kiyavash
Girish,,Krishnan
Lavanya,,Marla
Rakesh,,Nagi
Angelia,,Nedich
Sewoong,,Oh
Alexander,,Olshevsky
Raymond,Lewis,Price
Henrique,M,Reis
Richard,B,Sowers
Ramavarapu,S,Sreenivas
Dusan,M,Stipanovic
Deborah,L,Thurston
Qiong,,Wang
Robert,S,Averback
Pascal,,Bellon
Paul,V,Braun
David,G,Cahill
Qian,,Chen
Jianjun,,Cheng
Shen,J,Dillon
Christopher,,Evans
Andrew,,Ferguson
Pinshane,,Huang
Kristopher,,Kilian
Waltraud,M,Kriven
Jessica,Anne,Krogstad
Angus,Alexander,Rockett
John,A,Rogers
Andre,,Schleife
Kenneth,S,Schweizer
Jian,Ku,Shang
Moonsub,,Shim
Daniel,Philip,Shoemaker
Nancy,R,Sottos
Dallas,,Trinkle
Jian-Min,,Zuo
Andrew,G,Alleyne
Narayana,R,Aluru
Gaurav,,Bahl
Joseph,,Bentsman
M,Quinn,Brewster
Harry,,Dankowicz
Geir,E,Dullerud
Alison,Campbell,Dunn
Stefan,,Elbel
Elif,,Ertekin
Randy,H,Ewoldt
Placid,Mathew,Ferreira
Paul,,Fischer
Jonathan,,Freund
Nick,G,Glumac
Robert,B,Haber
Sascha,,Hilgenfeldt
Naira,,Hovakimyan
Predrag,Stojan,Hrnjak
Elizabeth,T,Hsiao-Wecksler
Yuhang,,Hu
Shelby,,Hutchens
Anthony,M,Jacobi
Iwona,M,Jasiuk
Harley,T,Johnson
Gabriel,,Juarez
Shiv,Gopal,Kapoor
Mariana,Elizabeth,Kersh
Seok,,Kim
William,Paul,King
Peter,,Kurath
Chia-Fon,,Lee
Tonghun,,Lee
Moshe,,Matalon
Prashant,Girdharilal,Mehta
Nenad,,Miljkovic
SungWoo,,Nam
Carlos,A,Pantano-Rubino
Hae,Won,Park
Arne,J,Pearlstein
Christophe,,Pierre
Srinivasa,M,Salapaka
Huseyin,,Sehitoglu
Chenhui,,Shao
Sanjiv,,Sinha
Kyle,C,Smith
Petros,,Sofronis
Martin,Ostoja,Starzewski
Kelly,,Stephani
Donald,Scott,Stewart
Sameh,H,Tawfick
Brian,G,Thomas
Daniel,A,Tortorelli
Kimani,C,Toussaint
Alexander,F,Vakakis
Surya,Pratap,Vanka
Ning,,Wang
Xiaofei,,Wang
Matthew,,West
Aimy,,Wissa
Michael,,Aref
Robert,S,Averback
Roy,A,Axford
Stephen,Allen,Boppart
Davide,,Curreli
Thomas,J,Dolan
James,Gary,Eden
Masab,H,Garada
Brent,J,Heuser
Bruce,L,Hutchings
Barclay,G,Jones
Brian,Edward,Jurczyk
Michael,David,Kaminski
Kyekyoon,,Kim
Kyu,Jung,Kim
Tomasz,,Kozlowski
Susan,M,Larson
Charles,P,Marsh
Ling,Jian,Meng
George,H,Miley
David,W,Miller
Zahra,,Mohaghegh
Richard,F,Nelson
Martin,John,Neumann
Magdi,,Ragheb
David,N,Ruzic
Clifford,E,Singer
Robert,,Stubbers
James,F,Stubbins
Clair,Julia,Sullivan
Brian,G,Thomas
Dallas,,Trinkle
Rizwan,,Uddin
Yang,,Zhang
Peter,Michael,Abbamonte
Peter,John,Adshead
Oleksii,,Aksimentiev
Douglas,H,Beck
David,R,Bergandine
Alexey,,Bezryadin
Raffi,,Budakian
David,M,Ceperley
Yann,Robert,Chemla
Bryan,K,Clark
S,Lance,Cooper
Karin,A,Dahmen
Brian,Leeds,DeMarco
James,N,Eckstein
Aida,X,El-Khadra
Steven,M,Errede
Thomas,,Faulkner
Jeffrey,P,Filippini
Eduardo,H,Fradkin
Bryce,,Gadway
Charles,Forbes,Gammie
Russell,W,Giannetta
Nigel,D,Goldenfeld
George,D,Gollin
Benjamin,,Hooberman
Alfred,Wilhelm,Hubler
Taylor,L,Hughes
Thomas,E,Kuhlman
Paul,G,Kwiat
Anthony,J,Leggett
Robert,G,Leigh
Virginia,,Lorenz
Gregory,,MacDougall
Vidya,,Madhavan
Nadya,,Mason
Jose,,Mestre
Telemachos,Ch,Mouschovias
Munir,H,Nayfeh
Mark,,Neubauer
Yoshitsugu,,Oono
Jen-Chieh,,Peng
Philip,W,Phillips
Kevin,T,Pitts
Rebecca,J,Rosenblatt
Shinsei,,Ryu
Peter,E,Schiffer
Klaus,J,Schulten
Harry,Edward,Seidel
Mats,A,Selen
Paul,R,Selvin
Stuart,Louis,Shapiro
Julia,F,Shelton
Anne,M,Sickles
Jun,,Song
Timothy,J,Stelzer
Michael,,Stone
Smitha,,Vishveshwara
Scott,S,Willenbrock
James,E,Wiss
Liang,,Yang
Johann,,Albrecht
Mir,M,Ali
Abbas,,Aminmansour
James,R,Anderson
Michael,J,Andrejasich
Kathryn,H,Anthony
Paul,J,Armstrong
Richard,J,Betts
Botond,,Bognar
Mohamed,,Boubekri
David,,Chasco
Brian,M,Deal
Lynne,Marie,Dearborn
Randall,,Deutsch
Kevin,N,Erickson
William,H,Erwin
William,L,Gamble
John,S,Garner
Wilma,Jean,Geil
Rebecca,,Ginsburg
Wolfgang,,Haken
Gaines,B,Hall
Ralph,Eugen,Hammann
Erik,,Hemingway
Leonard,F,Heumann
Kevin,J,Hinders
Sharon,Lee,Irish
Jeffrey,Charles,Kansler
Paul,Hardin,Kapp
Michael,Kyong-il,Kim
Paul,S,Kruty
Helen,,Kuznetsov
Alejandro,,Lapunzina
Vidar,,Lerum
Joy,Monice,Malnar
Michael,T,McCulley
Marshal,D,McGlamery
Robert,T,Mooney
Richard,H,Moses
Scott,Charles,Murray
Paul,A,Palumbo
Henry,S,Plummer
Jeffery,S,Poss
Panayiota,,Pyla
D,Fairchild,Ruggles
Ronald,E,Schmitt
Robert,I,Selby
John,Robert,Senseney
John,Charles,Stallmeyer
Richard,Karl,Strand
Mark,,Taylor
Therese,Frances,Tierney
Marci,Smith,Uihlein
Lee,W,Waldrep
James,P,Warfield
Joseph,W,Wenzel
David,,Wickersheimer
William,W,Worn
Fengying,,Yan
Conrad,Quentin,Bakker
Luke,,Batten
Susan,E,Becker
Eric,,Benson
Jane,,Block
Debra,L,Bolgla
Liora,,Bresler
William,C,Bullock
Anne,,Burkus-Chasson
Jennifer,,Burns
Kenneth,Raymond,Carls
Stephen,,Cartwright
Donna,J,Cox
Elizabeth,M,Delacruz
Robin,C,Douglas
Paul,Angus,Duncum
Jonathan,D,Fineberg
Cara,Anne,Finnegan
Jay,,Gates
Rebecca,,Ginsburg
Nan,Elizabeth,Goggin
Renate,G,Gokl
Ryan,,Griffis
Kimiko,,Gunji
Jennifer,Misuzu,Gunji-Ballsrud
Gerald,W,Guthrie
Kevin,,Hamilton
Patrick,E,Hammie
Kathleen,,Harleman
David,Lyle,Hays
Anne,D,Hedeman
Laura,,Hetrick
Lauretta,J,Hogin
Eric,R,Hostetter
Bradley,,Hudson
Julia,,Kellman
Barbara,F,Kendrick
Thomas,G,Kovacs
Ronald,R,Kovatch
Sarah,L,Krepp
Jorge,,Lucero
Areli,,Marina
Deana,C,McDonagh
Sandy,,Meier
Alan,T,Mette
Vernon,H,Minor
David,J,O'Brien
Michael,J,Parsons
Ruth,,Perlin
Matthew,,Peterson
Stephen,,Phillips
Melissa,,Pokorny
Kevin,,Reeder
Linda,F,Robbennolt
Lisa,,Rosenthal
Joel,,Ross
D,Fairchild,Ruggles
Anne,Helen,Sautman
Muriel,,Scheinman
Ernest,D,Scott
Sung,Soo,Shin
Daniel,F,Socha
Aurelia,M,Spicuzza
Joseph,C,Squier
Billie,J,Theide
Jun,,Tian
Bradley,K,Tober
A,Robert,Twardock
Oscar,,Vazquez
Andrew,H-J,Wang
David,Deke,Weaver
David,Ian,Weightman
Terri,,Weissman
Catherine,A,Wiesener
Jeryldene,M,Wood
Shuyu,,Wu
Kenneth,D,Beck
Denis,,Chiaramonte
Laura,Jean,Chiaramonte
John,,Dayger
Jan,K,Erkert
Kimberly,Dee,Hardin
Sara,,Hook
Philip,T,Johnston
Patricia,K,Knowles
Kate,D,Kuper
Linda,M,Lehovec
Jennifer,,Monson
Alexander,D,Murray
Rebecca,C,Nettl-Fiol
Terrance,R,O'Connor
Cynthia,,Oliver
Kirstie,,Simson
John,M,Toenjes
Renee,,Wadleigh
Kathryn,H,Anthony
Danika,Farida,Cooper
Brian,M,Deal
Margaret,Elen,Deming
Christopher,,Fennell
Rebecca,,Ginsburg
David,Lyle,Hays
Jessica,Marie,Henson
Eujin,Julia,Kim
Man,Li,Liao
Mary,Patricia,McGuire
D,Fairchild,Ruggles
Stephen,Michael,Sears
Helaine,I,Silverman
Amita,,Sinha
William,P,Stewart
William,C,Sullivan
David,J,Allen
Janet,R,Barrett
Christina,,Bashford
Louis,S,Bergonzi
Philipp,,Blume
Liora,,Bresler
Ronald,S,Bridgewater
William,F,Brooks
Zack,D,Browning
Donna,A,Buchanan
Michael,J,Cameron
Carlos,R,Carrillo
Teofilo,L,Carrillo
Elliot,L,Chasanov
Barrington,L,Coleman
Charles,JC,Daval
Ollie,Watts,Davis
John,,Dee
Timothy,J,Ehlen
Ricardo,,Flores
Elizabeth,D,Freivogel
Megan,Ruth,Freivogel
Guy,E,Garnett
Erin,Elizabeth,Gee
Vince,Anthony,Genualdi
Lawrence,W,Gray
Julie,Jordan,Gunn
Nathan,,Gunn
Rudolf,,Haken
Dawn,M,Harris
James,David,Harris
William,H,Heiles
Dennis,,Helmrich
Joseph,,Herl
Luis,Ricardo,Herrera
Joan,B,Hickey
Ian,R,Hobson
Barry,L,Houser
Sarah,Wigley,Johnson
Hans,G,Kaper
Jonathan,,Keeble
William,A,Kinderman
Dmitry,,Kouzov
Adam,John,Kruse
Nelson,,Lee
Kerrith,,Livengood
Erik,R,Lund
Christopher,B,Macklin
Gayle,Sherwood,Magee
Jeffrey,S,Magee
Daniel,J,McDonough
Timothy,S,McGovern
Charles,L,McNeill
Andrew,Donald,Megill
Stefan,,Milenkovich
Charlotte,Mattax,Moersch
William,,Moersch
Mark,E,Moore
Linda,,Moorhouse
Bruno,,Nettl
Jeananne,Blythe,Nichols
Susan,H,Parisi
Elizabeth,B,Peterson
Stephen,,Peterson
Ulrike,,Praeger
James,E,Pugh
Yvonne,Gonzales,Redman
Debra,A,Richtmeyer
Dana,M,Robinson
Ronald,,Romm
Donald,J,Schleicher
Bernhard,David,Scully
Rochelle,,Sennet
Jerold,,Siena
Michael,B,Silvers
Gabriel,,Solis
Andrea,,Solya
Joel,William,Spencer
John,C,Stephens
Sylvia,,Stone
Bridget,Mary,Sweet
Heinrich,K,Taube
Stephen,A,Taylor
Nicholas,,Temperley
Reynold,,Tharp
Michael,Porter,Tilley
Sever,,Tipei
Christos,,Tsitsaros
Scott,Alan,Wyatt
Philip,,Yampolsky
Ann,Marie,Yeung
Robert,G,Anderson
Robert,W,Barrett
Terry,Anne,Ciofalo
Kimberly,D,Curtis
Peter,A,Davis
Jeremy,,Day
Lisa,G,Dixon
Adriane,Binky,Donley
Nicole,,Faurant
Regina,M,Garcia
J,Michael,Griggs
Jeffrey,Eric,Jenkins
Samantha,Crystal,Jones
Lisa,J,Kidd
Cynthia,,Kocher
Jeffrey,S,Magee
Verda,Beth,Martell
Olga,Markovna,Maslova
Robin,,McFarquhar
Thomas,J,Miller
Thomas,Owen,Mitchell
Jason,William,Morrissette
Kathy,Anne,Perkins
Robert,,Perry
Christina,M,Rainwater
Susan,M,Schuld
Anna,Westerstahl,Stenport
Andrea,,Stevens
Daniel,J,Sullivan
Katherine,R,Syer
Carol,Lynne,Symes
David,Deke,Weaver
Michael,W,Williams
Christopher,Alan,Wood
Myles,D,Berman
Arnab,,Chakraborty
Brian,M,Deal
Lynne,Marie,Dearborn
Marc,J,Doussard
Mary,Margaret,Edwards
Edward,,Feser
Deanna,M,Glosser
Andrew,Jordan,Greenlee
Stacy,Anne,Harwood
Joseph,Edward,Hooker
Lewis,D,Hopkins
Tschangho,John,Kim
Bruce,Alan,Knight
Robert,Gerrett,Kowalski
Devin,,Lavigne
Bumsoo,,Lee
Daniel,P,McMillen
Ruby,,Mendenhall
Faranak,,Miraftab
Alice,E,Novak
Robert,B,Olshansky
Craig,,Rost
Ken,Edgar,Salo
Daniel,W,Schneider
Anne,H,Silvis
Kai,,Tarum
Elizabeth,Holl,Tyler
Bruce,K,Walden
Beverly,K,Wilson
Masooda,N,Bashir
Ann,P,Bishop
Alistair,Matthew,Black
Catherine,Lesley,Blake
Maria,Stella,Bonn
Pauline,A,Cochrane
Timothy,W,Cole
Nicole,Amy,Cooke
Peter,Thomas,Darch
Charles,H,Davis
Susan,Gray,Davis
Jana,,Diesner
J,Stephen,Downie
David,Scott,Dubin
Miles,James,Efron
Leigh,S,Estabrook
Barbara,Jean,Ford
Jon,Patrick,Gant
Leslie,G,Gasser
Valerie,,Hotchkiss
Joseph,Brantley,Houston
Christine,A,Jenkins
Kyratso,George,Karahalios
Paula,T,Kaufman
Lori,Sue,Kendall
Donald,W,Krummel
Kathryn,Anne,LaBarre
Bertram,,Ludaescher
Rachel,Michelle,Magee
Bonnie,,Mak
Jerome,Patrick,McDonough
Kathleen,,McDowell
Zahra,,Mohaghegh
Carole,,Palmer
Warden,B,Rayward
Allen,H,Renear
Selma,,Richardson
Sandra,Luisa,Rodriguez-Zas
Dan,,Roth
Bruce,R,Schatz
Daniel,Toby,Schiller
Susan,Ellis,Searing
Linda,C,Smith
Victoria,,Stodden
Carol,L,Tilley
Vetle,Ingvald,Torvik
Michael,Bernard,Twidale
Shaowen,,Wang
Terry,,Weech
John,P,Wilkin
Kathleen,H,Williams
Chengxiang,,Zhai
Christopher,M,Ames
Steven,,Ashby
Ariel,Chanan,Avgar
Symantha,,Aydt
Elizabeth,A,Barker
Richard,,Benton
Robert,Anthony,Bruno
Maria,Teresa,Cardador
Ying,,Chen
Alison,,Dickson
Fritz,,Drasgow
Matthew,W,Finkin
Elizabeth,Carla,Forsythe
Daniel,,Gilbert
Martha,E,Glotzhober
Wendy,E,Gooch
Pamela,A,Hartke
Edward,,Hertenstein
Lynne,A,Hoveln
Amit,,Kramer
Emily,,Labarbera-Twarog
James,Ryan,Lamare
John,J,Lawler
Michael,H,Leroy
Nell,Catherine,Madigan
Joseph,J,Martocchio
Mary,K,McCallen
Craig,Allen,Olson
YoungAh,,Park
Matthew,T,Quinlan
Emily,Elizabeth,Smith
Yoo-Seong,,Song
Andrew,,Weaver
Ronald,William,Bailey
Merle,L,Bowen
Sundiata,,Cha-Jua
William,Louis,Conwill
Karen,,Flynn
Faye,V,Harrison
Robin,L,Jarrett
Candice,M,Jenkins
Erik,S,McDuffie
Malaika,W,McKee
Ruby,,Mendenhall
John,P,Meyers
Helen,A,Neville
Sharde,,Smith
Nafissa,D,Thompson-Spires
Jennifer,L,Davis
Robert,,Warrior
Alison,Marie,Bell
Carla,E,Caceres
Julian,Michael,Catchen
Becky,Claire,Fuller
Jonathan,D,Marcot
Ken,N,Paige
Karen,,Sears
Andrew,,Suarez
Stanley,H,Ambrose
Jessica,F,Brinkworth
Alison,,Carter
Jennifer,L,Davis
Jane,,Desmond
Virginia,Rosa,Dominguez
Brenda,M,Farnell
Christopher,,Fennell
Jessica,R,Greenberg
Faye,V,Harrison
Cris,Erin,Hughes
Petra,,Jelinek
Lyle,W,Konigsberg
Elise,Ann,Kramer
Adrienne,Shiu-Ming,Lo
Lisa,J,Lucero
Ripan,S,Malhi
Martin,Fajardo,Manalansan
Jeffrey,T,Martin
Ellen,,Moodie
Andrew,,Orta
Timothy,R,Pauketat
John,David,Polk
Gilberto,,Rosas
Charles,C,Roseman
Mahir,,Saul
Laura,Lynn,Shackelford
Helaine,I,Silverman
Rebecca,,Stumpf
Lisa,Marie,Cacho
Augusto,F,Espiritu
Susan,,Koshy
Soo,Ah,Kwon
Martin,Fajardo,Manalansan
Fiona,,Ngo
Mimi,Thi,Nguyen
Angela,Naomi,Paik
Junaid,,Rana
Robert,J,Brunner
Neal,Krishnakant,Dalal
Brian,David,Fields
Charles,Forbes,Gammie
Emily,Elizabeth,Hardegree-Ullman
Athol,J,Kemball
Xin,,Liu
Leslie,W,Looney
Telemachos,Ch,Mouschovias
Paul,Milton,Ricker
Yue,,Shen
Joaquin,Daniel,Vieira
Tony,,Wong
Francina,,Dominguez
Jeffrey,,Frame
Deanna,,Hence
Atul,,Jain
Sonia,,Lasher-Trapp
Greg,Michael,McFarquhar
Stephen,,Nesbitt
Robert,M,Rauber
Nicole,,Riemer
Michael,E,Schlesinger
Ryan,,Sriver
Robert,,Trapp
Zhuo,,Wang
Donald,J,Wuebbles
Rutilio,,Fratti
John,Alan,Gerlt
Raven,H,Huang
Hong,,Jin
David,M,Kranz
Susan,A,Martinis
James,H,Morrissey
Satish,K,Nair
Erik,,Procko
David,J,Shapiro
Stephen,G,Sligar
Stephanie,Ann,Smith
Emad,,Tajkhorshid
Kai,,Zhang
Andrew,S,Belmont
William,M,Brieher
Jie,,Chen
Brian,C,Freeman
Martha,L,Gillette
Prasanth,Kumar,Kannanganattu
Xin,,Li
Craig,Andrew,Mizzen
Phillip,A,Newmark
Supriya,Gangadharan,Prasanth
David,H,Rivier
Mary,A,Schuler
Rachel,,Smith-Bolton
Lisa,J,Stubbs
Vivian,,Tang
Anita,Lynn,Boone
Shane,Ryan,Brownfield
Karri,E,Cagle
Leslie,A,Chenoweth
Jeffrey,D,Craig
Danielle,Susanne,Cruzan
Michelle,Ann,Davis
Wolali,A,Dedo
Feng,,Dong
Ratna,Ghosh,Dutta
Ronald,D,Edmison
William,R,Eggett
Elizabeth,Diane,Eves
Jonathan,Conrad,Freiman
Brian,Robert,Fulton
Yi-Gui,,Gao
Andrew,M,Gibbs
Danielle,L,Gray
Beth,A,Gregory
Kara,,Haley
Michael,J,Hallock
Michael,Allen,Harland
Mark,A,Hewitt
David,W,Hire
Tracie,L,Hubert
Bradley,,Johnstone
Cheryl,L,Kappes
Urbashi,,Karki
Kyle,Jane,Kroha
Nancy,Lynn,Lamb
Deborah,E,Leckband
Dorothy,R,Loudermilk
Brad,A,Lutz
Kenneth,N,Luyando
Christine,L,Majers
Julie,Ann,Maze
Birgit,Dahlberg,McCall
Sandra,Kay,McMasters
Susan,Lynn,Mynatt
Gayle,Lynn,Nelsen
Mark,Joseph,Nilges
Kenton,James,Northen
Dean,,Olson
Shirley,Mae,Panepinto
Taras,V,Pogorelov
Beverly,M,Rauchfuss
James,M,Rhoton
Jennifer,Rae,Russell
Lori,L,Sage-Karlson
Mary,Lynnae,Smith
Roger,W,Smith
Karla,Ann,Southern
David,Todd,Spinner
Holly,Christine,Spinner
Donald,Chad,Stevens
Furong,,Sun
Andre,,Sutrisno
Jonathan,V,Sweedler
Michael,,Thompson
Kevin,Ryan,Tucker
Charles,,Wallbaum
Kyle,Leon,Webb
Zachary,R,Widup
Thomas,E,Wilson
Charles,Kenneth,Wooldridge
Haijun,,Yao
Chen,,Zhang
Lingyang,,Zhu
Joshua,Edward,Bennett
Ying,,Diao
David,William,Flaherty
Damien,S,Guironnet
William,S,Hammack
Brendan,A,Harley
Jerrod,Antwone,Henderson
Hyun,Joon,Kong
Mary,L,Kraft
Deborah,E,Leckband
Christopher,V,Rao
Simon,,Rogers
Charles,M,Schroeder
Edmund,G,Seebauer
Diwakar,,Shukla
Charles,E,Sing
Troy,,Vogel
Hong,,Yang
Huimin,,Zhao
Ryan,C,Bailey
Martin,,Burke
Scott,E,Denmark
Dana,D,Dlott
Andrew,A,Gewirth
Gregory,S,Girolami
Sharon,,Hammes-Schiffer
Paul,,Hergenrother
So,,Hirata
Tina,Hai-Ti,Huang
Kami,Lee,Hull
Prashant,,Jain
David,A,Kell
Michael,,Koerner
Deborah,E,Leckband
Yi,,Lu
Zaida,Ann,Luthey-Schulten
Nancy,,Makri
Kelly,,Marville
Benjamin,,McCall
Douglas,Alan,Mitchell
Jeffrey,S,Moore
Catherine,Jones,Murphy
Amy,Lynn,Nicely
Ralph,G,Nuzzo
Eric,,Oldfield
John,Walter,Overcash
Michael,,Pak
Chad,,Rienstra
David,,Sarlah
Scott,K,Silverman
Alexander,Vasilyevich,Soudakov
Jonathan,V,Sweedler
Joshua,,Vura-Weis
Alison,Renee,Weitzel
M,Christina,White
David,E,Woon
Steven,C,Zimmerman
Ariel,N,Alexander
Scott,,Althaus
William,,Barley
Cabral,Aziza,Bigman-Galimore
Elisabeth,,Bigsby
Caroline,M,Bunch
John,Patrick,Caughlin
Josue,David,Cisneros
Thomas,Joseph,Costello
Kathleen,A,Ditewig-Morris
Travis,L,Dixon
Cara,Anne,Finnegan
Benjamin,Joseph,Gailey
Lisa,,Guntzviller
Sally,A,Jackson
Curtis,Scott,Jacobs
Leanne,,Knobloch
John,Charles,Lammers
Robert,W,McChesney
Mary,,McGrath
Melanie,,Michael
John,M,Murphy
Thomas,E,O'Gorman
Alyssa,,Obradovich
Marshall,Scott,Poole
Elizabeth,E,Popp
Brian,L,Quick
Mary,Ellen,Ramey
Inger,Lisbeth,Stole
David,H,Tewksbury
Lauren,H,VanNatta
Trina,J,Wright-Dixon
Nancy,,Blake
Eric,Stickley,Calderwood
George,Zbigniew,Gasyna
Rachel,Sylvia,Harris
Wail,Seddiq,Hassan
Stephanie,M,Hilger
Lilya,,Kaganovsky
Brett,Ashley,Kaplan
Jean-Philippe,R,Mathy
Rini,Bhattacharya,Mehta
Harriet,Lisa,Murav
Robert,A,Rushing
Robert,,Tierney
Robert,E,Kanter
Zong-Qi,,Cai
Kai-Wing,,Chow
Rika,,Kinoshita
Jeffrey,T,Martin
Alexander,Leonhard,Mayer
Junko,,Onosaka
Elizabeth,A,Oyler
Jerome,L,Packard
Brian,Douglas,Ruppert
Misumi,,Sadler
Dan,,Shao
Chilin,,Shih
Robert,,Tierney
Roderick,Ike,Wilson
Gary,Gang,Xu
Richard,S,Akresh
David,Yves,Albouy
Hassan,,Arvin-Rad
Anil,K,Bera
Mark,Daniel,Bernhardt
Mark,Joseph,Borgschulte
Bryan,Douglas,Buckley
In-Koo,,Cho
Eun,Yi,Chung
Satya,Prasanna,Das
George,,Deltas
Isaac,,DiIanni
Hadi,S,Esfahani
Zhigang,,Feng
Elizabeth,Carla,Forsythe
Firouz,,Gahvari
Seung-Hyun,,Hong
Maria,,Kleemans
Roger,W,Koenker
Stefan,,Krasa
JiHyung,,Lee
Guillermo,,Marshall
Benjamin,Michael,Marx
Daniel,P,McMillen
Adam,Mohamed,Osman
Stephen,Lawrence,Parente
Woong,Yong,Park
Martin,,Perry
Joseph,A,Petry
Mattias,K,Polborn
Elizabeth,T,Powers
Zaruhi,Mels,Sahakyan
Colleen,,Schultz
Min,Chul,Shin
Rebecca,Lynn,Thornton
Ali,,Toossi
Jose,J,Vazquez
Steven,R,Williams
Lanwei,Joy,Yang
Rui,,Zhao
Dennis,E,Baron
Iryce,W,Baron
Robert,W,Barrett
Anustup,,Basu
Manisha,,Basu
Dale,,Bauer
Jodi,,Byrd
Martin,,Camargo
Sandra,,Camargo
Jose,Bernard,Capino
John,P,Claborn
Lucinda,,Cole
Mary,Rose,Cottingham
Eleanor,,Courtemanche
Ramona,,Curry
Timothy,James,Dean
Michael,L,Don
Dennis,Everett,Dullea
Ashley,,Emmert
Ryan,P,Flanagan
Stephanie,,Foote
Christopher,Charles,Freeburg
Andrew,,Gaedtke
John,,Gallagher
Kyle,Richard,Garton-Gundling
Shawn,Patrick,Gilmore
Catharine,E,Gray
Joseph,,Grohens
Ceridwen,L,Hall
James,A,Hansen
Gail,L,Hapke
Joy,,Harjo-Sapulpa
Janice,,Harrington
Wail,Seddiq,Hassan
Mary,L,Hays
William,D,Hechler
Marilyn,M,Holguin
Gordon,,Hutner
Candice,M,Jenkins
Jamie,L,Jones
Brigit,P,Kelly
Daniel,,Kelly
Roya,,Khatiblou
Susan,,Koshy
Aaron,,LaDuke
Linda,,Larsen
Mary,,Lindsey
Melissa,Monique,Littlefield
Patricia,,Loughran
Michael,D,Madonick
Vicki,,Mahaffey
Robert,,Markley
Lee,,McGuire
Natalie,A,Mesnard
Matthew,P,Minicucci
David,,Morris
Andrew,Patrick,Moss
Justine,Summerhayes,Murison
Hina,,Nazar
John,Timberman,Newcomb
Lori,Humphrey,Newcomb
Michael,J,Odom
Robert,Dale,Parker
Curtis,,Perry
Alaina,R,Pincus
Anthony,,Pollock
Catherine,Jean,Prendergast
Julie,P,Price
Paul,A,Prior
Eric,Darnell,Pritchard
Scott,,Ricketts
Kelly,Allison,Ritter
Richard,Thomas,Rodriguez
Michael,,Rothberg
John,,Rubins
Sandra,,Ruiz
Stephen,A,Runkle
Lindsay,Rose,Russell
John,T,Sanders
Julia,Frances,Saville
Spencer,Wood,Schaffner
Alexander,M,Shakar
Sydney,James,Slobodnik
Christine,M,Sneed
Siobhan,B,Somerville
Derrick,,Spires
Andrea,,Stevens
Nafissa,D,Thompson-Spires
Renee,,Trilling
William,E,Underwood
Robert,,Warrior
Rebecca,,Weber
Kirstin,R,Wilcox
Gregory,Darnell,Wilson
Gillen,D'Arcy,Wood
Charles,D,Wright
David,,Wright
Brian,F,Allan
May,R,Berenbaum
Stewart,H,Berlocher
Sydney,Anne,Cameron
Bettina,M,Francis
Lawrence,M,Hanks
Allison,K,Hansen
Alexandra,Nicole,Harmon-Threatt
Barry,Robert,Pittendrigh
Hugh,M,Robertson
Andrew,,Suarez
Charles,W,Whitfield
James,Bryan,Whitfield
Nancy,,Blake
Eda,,Derhemi
Zsuzsanna,,Fagyal
Alain,D,Fresco
Karen,L,Fresco
Marcus,,Keller
Laurence,S,Mall
Jean-Philippe,R,Mathy
Aurore,Patricia,Mroz
Jean-Jacques,Frederic,Poucel
Francois,,Proulx
Felisa,Vergara,Reynolds
Emanuel,,Rota
Robert,A,Rushing
Eleonora,,Stoppino
Teresa,Ann,Barnes
Toby,Cason,Beauchamp
Ruth,Nicole,Brown
Jodi,,Byrd
Cheryl,L,Cole
Karen,,Flynn
Stephanie,,Foote
Samantha,L,Frost
Vicki,,Mahaffey
Chantal,,Nadeau
Fiona,,Ngo
Mimi,Thi,Nguyen
Siobhan,B,Somerville
Thomas,J,Bassett
James,Leonard,Best
Trevor,,Birkenholtz
Julie,L,Cidell
Piotr,,Cienciala
Jonathan,,Greenberg
Brian,J,Jefferson
Ezekiel,,Kalipeni
Mei-Po,,Kwan
Sara,L,McLafferty
Bruce,L,Rhoads
Jesse,C,Ribot
Murugesu,,Sivapalan
Shaowen,,Wang
David,,Wilson
Stephen,P,Altaner
Alison,M,Anders
Jay,D,Bass
James,Leonard,Best
Kurtis,C,Burmeister
Todd,M,Cole
Jessica,,Conroy
Jennifer,,Druhan
Bruce,W,Fouke
Patricia,,Gregg
William,,Guenthner
Feng,Sheng,Hu
Thomas,Martin,Johnson
Lijun,,Liu
Craig,Campbell,Lundstrom
Jacalyn,M,Malinowski
Stephen,,Marshak
Gary,,Parker
Robert,A,Sanford
Xiaodong,,Song
Michael,A,Stewart
Wendy,,Yang
Stephanie,M,Hilger
Laurie,R,Johnson
Bjorn,,Malekin
Carl,Hendrik,Niekerk
Anke,,Pinkert
Mark,D,Safstrom
Anna,Westerstahl,Stenport
Mara,R,Wade
Petra,Anni,Watzke
Charles,Robert,Webster
